"from";"to";"walkTime";"distance";"popularity";"category";"rideDuration"
"1";"2";"70.1440918078158";"97.4223497330775";"1754";"Spinning Ride";"90"
"1";"3";"105.342502945401";"146.309031868613";"1130";"Ride";"270"
"1";"4";"113.810500827474";"158.070140038159";"2720";"Family";"900"
"1";"5";"103.759438713537";"144.11033154658";"714";"Family";"720"
"1";"6";"95.8055732538895";"133.063296185958";"1291";"Ride";"255"
"1";"7";"134.212202759089";"186.405837165402";"734";"Spinning Ride";"90"
"1";"8";"154.439326371042";"214.499064404225";"1104";"Roller Coaster";"120"
"1";"9";"181.11881897373";"251.553915241292";"2906";"Ride";"240"
"1";"10";"229.912932213876";"319.323516963716";"2100";"Ride";"420"
"1";"11";"215.38866112954";"299.150918235472";"1115";"Family";"180"
"1";"12";"317.612674982363";"441.128715253282";"2259";"Water";"840"
"1";"13";"371.997613079416";"516.663351499189";"2103";"Dark";"600"
"1";"14";"240.723605286729";"334.338340676012";"5171";"Family";"120"
"1";"15";"290.089714301806";"402.90238097473";"1595";"Ride";"180"
"1";"16";"263.556388855467";"366.050540077038";"7557";"Show";"720"
"1";"17";"297.603216886739";"413.337801231582";"4343";"Family";"1380"
"1";"18";"384.950191761443";"534.653044113115";"1980";"Family";"1800"
"1";"19";"485.718527658934";"674.609066192964";"1629";"Roller Coaster";"420"
"1";"20";"484.128629220543";"672.400873917421";"2031";"Water";"1080"
"1";"21";"439.916901254144";"610.995696186311";"2497";"Water";"450"
"1";"22";"398.496623424405";"553.467532533896";"5626";"Show";"600"
"1";"23";"377.157654889418";"523.830076235303";"899";"Ride";"90"
"1";"24";"383.127652693958";"532.121739852719";"1050";"Water";"480"
"1";"25";"349.070472763853";"484.820101060907";"1748";"Family";"750"
"1";"26";"356.598949393327";"495.276318601843";"1716";"Family";"180"
"1";"27";"283.529563464846";"393.791060367842";"15118";"Family";"1200"
"2";"1";"70.1440918078158";"97.4223497330775";"1104";"Roller Coaster";"600"
"2";"3";"38.2787614052238";"53.1649463961442";"1130";"Ride";"270"
"2";"4";"43.6664861913278";"60.6478974879552";"2720";"Family";"900"
"2";"5";"34.674010708786";"48.1583482066472";"714";"Family";"720"
"2";"6";"71.564319938947";"99.394888804093";"1291";"Ride";"255"
"2";"7";"141.204693251368";"196.117629515788";"734";"Spinning Ride";"90"
"2";"8";"173.242587897778";"240.614705413581";"1104";"Roller Coaster";"120"
"2";"9";"147.849702309944";"205.346808763811";"2906";"Ride";"240"
"2";"10";"223.322605308746";"310.170285151036";"2100";"Ride";"420"
"2";"11";"222.365255154426";"308.840632158925";"1115";"Family";"180"
"2";"12";"272.824109267831";"378.922373983099";"2259";"Water";"840"
"2";"13";"322.652532817859";"448.128517802582";"2103";"Dark";"600"
"2";"14";"193.731056170606";"269.070911348064";"5171";"Family";"120"
"2";"15";"238.757116411859";"331.607106127582";"1595";"Ride";"180"
"2";"16";"209.069746970317";"290.374648569885";"7557";"Show";"720"
"2";"17";"236.203211550559";"328.060016042444";"4343";"Family";"1380"
"2";"18";"322.893940741362";"448.463806585226";"1980";"Family";"1800"
"2";"19";"425.602652889018";"591.114795679192";"1629";"Roller Coaster";"420"
